
Nom de l'entreprise : 
NPA : 
Adresse : 
Ville : 
Pays : 


Heure : 16:28:44
Date : 15.12.2015

NUMÉRO DE PIÈCE;DOSSIER;GROUPE;POSITION;DÉPARTEMENT;STATUT;QTE;DESCRIPTION;NORME;UTILISATION;SITUATION;MATIÈRE;LONGUEUR;LARGEUR;EPAISSEUR;MASSE;SURFACE;TRAITEMENT;COULEUR;NIVEAU;QUANTITÉ
    10-P-2000;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;304.09;51;3;0.35;31830.46;Brut;-;2;1
      ;;;;;;-;Sheet;;;;;;;;0.35;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;2
  10-E-4121;10;Assemblage;-;Acier;Chantier;2;Assemblage Manchon;-;-;-;Divers;53;100;53;0.29;25258.99;Peint Antirouille;Zimo Z1 60my;1;2
    10-P-2001;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;188.09;53;3;0.21;20095.48;Brut;-;2;2
      ;;;;;;-;Sheet;;;;;;;;0.21;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;4
  10-E-4115;10;Assemblage;-;Acier;Chantier;2;SC Charpente;-;-;-;Divers;120;115;0;0.96;37143.14;Thermolaqué;RAL 9007;1;2
    10-P-2030;10;Pièce;-;Tôlerie;Production;1;Tôle acier 8mm;-;-;-;Acier;120;8;0;0.69;25786.19;Brut;-;2;2
    10-P-0330;10;Pièce;-;Usinage Acier;Production;1;Tige filetée M16x115;-;-;-;Acier;115;16;0;0.18;6182.65;Brut;-;2;2
    10-P-8013;10;Pièce;-;Visserie;Chantier;2;Vis Cylindrique M10x50;-;-;-;Inox Brut 2B;0;0;0;;;Brut;-;2;4
  10-E-4110;10;Assemblage;-;Acier;Chantier;2;Assemblage Manchon;-;-;-;Divers;230;111;51;2.66;119665.75;Peint Antirouille;Zimo Z1 60my;1;2
    10-P-2012;10;Pièce;-;Tôlerie;Production;1;Tôle acier 6mm manchon;-;-;-;Acier;230;220.97;"RD3@Annotations@10-P-2012.moPart_c";2.54;112939.33;Brut;-;2;2
      ;;;;;;-;Sheet;;;;;;;;2.54;;;;-1;
    10-P-8031;10;Pièce;-;Visserie;Production;1;Ecrou de rallonge M16;-;-;-;Acier;0;0;0;0.13;6726.42;Brut;-;2;2
10-E-4007;10;Assemblage;-;Acier;Chantier;1;Cadre tubulaire;-;-;-;Divers;4022.21;1118.33;184;116.18;11546046.66;IGP 5803 E 71755 A10;-;0;1
  Esquisse 10-E-4007;;;;;;1;;;;;;;;;;;;;1;1
  10-P-0012;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;3819.72;120;60;40.18;2546897.54;Brut;-;1;1
  10-P-0013;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;4014.34;120;60;42.24;2676790.70;Brut;-;1;1
  10-P-2115;10;Pièce;-;Tôlerie;Production;1;Tôle acier 8mm;-;-;-;Acier;120;61.01;8;0.44;17721.50;Brut;-;1;1
  10-P-2110;10;Pièce;-;Tôlerie;Production;1;Tôle acier 8mm;-;-;-;Acier;120;61.01;8;0.45;17521.22;Brut;-;1;1
  10-P-0150;10;Pièce;-;Usinage Acier;Production;2;Tube carré MSH 60x60x3.2;EN 10210;-;-;Acier;998.33;60;60;5.55;439624.81;Brut;-;1;2
  10-P-0223;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;3907.67;18;12;5.76;1989687.35;Brut;-;1;1
  10-P-0224;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;4102.30;18;12;6.05;2088728.98;Brut;-;1;1
  10-P-0202;10;Pièce;-;Usinage Acier;Production;2;Raico 129005;-;-;-;Acier;992.33;18;12;1.43;462697.10;Brut;-;1;2
  10-P-3000;10;Pièce;-;Achat;Production;4;Cale à verre Raico 167391;-;-;-;Alu;100;49;18;0.05;14127.90;Brut;-;1;4
  10-E-4111;10;Assemblage;-;Acier;Chantier;2;Assemblage Manchon;-;-;-;Divers;160;111;51;1.89;86110.84;Peint Antirouille;Zimo Z1 60my;1;2
    10-P-2013;10;Pièce;-;Tôlerie;Production;1;Tôle acier 6mm manchon;-;-;-;Acier;220.97;160;"RD3@Annotations@10-P-2012.moPart_c";1.76;79384.42;Brut;-;2;2
      ;;;;;;-;Sheet;;;;;;;;1.76;;;;-1;
    10-P-8031;10;Pièce;-;Visserie;Production;1;Ecrou de rallonge M16;-;-;-;Acier;0;0;0;0.13;6726.42;Brut;-;2;2
  10-E-4115;10;Assemblage;-;Acier;Chantier;2;SC Charpente;-;-;-;Divers;120;115;0;0.96;37143.14;Thermolaqué;RAL 9007;1;2
    10-P-2030;10;Pièce;-;Tôlerie;Production;1;Tôle acier 8mm;-;-;-;Acier;120;8;0;0.69;25786.19;Brut;-;2;2
    10-P-0330;10;Pièce;-;Usinage Acier;Production;1;Tige filetée M16x115;-;-;-;Acier;115;16;0;0.18;6182.65;Brut;-;2;2
    10-P-8013;10;Pièce;-;Visserie;Chantier;2;Vis Cylindrique M10x50;-;-;-;Inox Brut 2B;0;0;0;;;Brut;-;2;4
  10-E-4121;10;Assemblage;-;Acier;Chantier;4;Assemblage Manchon;-;-;-;Divers;53;100;53;0.29;25258.99;Peint Antirouille;Zimo Z1 60my;1;4
    10-P-2001;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;188.09;53;3;0.21;20095.48;Brut;-;2;4
      ;;;;;;-;Sheet;;;;;;;;0.21;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;8
10-E-4008;10;Assemblage;-;Acier;Chantier;1;Cadre tubulaire;-;-;-;Divers;5054.66;2176.67;184;204.28;20401212.21;IGP 5803 E 71755 A10;-;0;1
  Esquisse 10-E-4008;;;;;;1;;;;;;;;;;;;;1;1
  10-P-0014;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;4208.97;120;60;44.29;2806683.85;Brut;-;1;1
  10-P-0015;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;5054.66;120;60;53.20;3371070.71;Brut;-;1;1
  10-P-0016;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;4403.60;120;60;46.35;2936603.71;Brut;-;1;1
  10-P-2115;10;Pièce;-;Tôlerie;Production;2;Tôle acier 8mm;-;-;-;Acier;120;61.01;8;0.44;17721.50;Brut;-;1;2
  10-P-2110;10;Pièce;-;Tôlerie;Production;1;Tôle acier 8mm;-;-;-;Acier;120;61.01;8;0.45;17521.22;Brut;-;1;1
  10-P-0150;10;Pièce;-;Usinage Acier;Production;4;Tube carré MSH 60x60x3.2;EN 10210;-;-;Acier;998.33;60;60;5.55;439624.81;Brut;-;1;4
  10-P-0225;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;4296.92;18;12;6.34;2187770.61;Brut;-;1;1
  10-P-0226;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;4895.17;18;12;7.22;2492210.09;Brut;-;1;1
  10-P-0227;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;4491.55;18;12;6.62;2286812.24;Brut;-;1;1
  10-P-0202;10;Pièce;-;Usinage Acier;Production;4;Raico 129005;-;-;-;Acier;992.33;18;12;1.43;462697.10;Brut;-;1;4
  10-P-3000;10;Pièce;-;Achat;Production;8;Cale à verre Raico 167391;-;-;-;Alu;100;49;18;0.05;14127.90;Brut;-;1;8
  10-E-4120;10;Assemblage;-;Acier;Chantier;2;Assemblage Manchon;-;-;-;Divers;111;100;51;0.42;36993.98;Peint Antirouille;Zimo Z1 60my;1;2
    10-P-2000;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;304.09;51;3;0.35;31830.46;Brut;-;2;2
      ;;;;;;-;Sheet;;;;;;;;0.35;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;4
  10-E-4111;10;Assemblage;-;Acier;Chantier;3;Assemblage Manchon;-;-;-;Divers;160;111;51;1.89;86110.84;Peint Antirouille;Zimo Z1 60my;1;3
    10-P-2013;10;Pièce;-;Tôlerie;Production;1;Tôle acier 6mm manchon;-;-;-;Acier;220.97;160;"RD3@Annotations@10-P-2012.moPart_c";1.76;79384.42;Brut;-;2;3
      ;;;;;;-;Sheet;;;;;;;;1.76;;;;-1;
    10-P-8031;10;Pièce;-;Visserie;Production;1;Ecrou de rallonge M16;-;-;-;Acier;0;0;0;0.13;6726.42;Brut;-;2;3
  10-E-4115;10;Assemblage;-;Acier;Chantier;3;SC Charpente;-;-;-;Divers;120;115;0;0.96;37143.14;Thermolaqué;RAL 9007;1;3
    10-P-2030;10;Pièce;-;Tôlerie;Production;1;Tôle acier 8mm;-;-;-;Acier;120;8;0;0.69;25786.19;Brut;-;2;3
    10-P-0330;10;Pièce;-;Usinage Acier;Production;1;Tige filetée M16x115;-;-;-;Acier;115;16;0;0.18;6182.65;Brut;-;2;3
    10-P-8013;10;Pièce;-;Visserie;Chantier;2;Vis Cylindrique M10x50;-;-;-;Inox Brut 2B;0;0;0;;;Brut;-;2;6
  10-E-4121;10;Assemblage;-;Acier;Chantier;4;Assemblage Manchon;-;-;-;Divers;53;100;53;0.29;25258.99;Peint Antirouille;Zimo Z1 60my;1;4
    10-P-2001;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;188.09;53;3;0.21;20095.48;Brut;-;2;4
      ;;;;;;-;Sheet;;;;;;;;0.21;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;8
10-E-4009;10;Assemblage;-;Acier;Chantier;1;Cadre tubulaire;-;-;-;Divers;5453.63;1138.33;184;241.50;16854612.40;IGP 5803 E 71755 A10;-;0;1
  Esquisse 10-E-4009;;;;;;1;;;;;;;;;;;;;1;1
  10-P-0050;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x80x6.3;EN 10210;-;-;Acier;5251.13;120;80;93.48;3763288.09;Brut;-;1;1
  10-P-0051;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x80x6.3;EN 10210;-;-;Acier;5445.75;120;80;96.95;3902864.67;Brut;-;1;1
  10-P-2111;10;Pièce;-;Tôlerie;Production;1;Tôle acier 8mm;-;-;-;Acier;120;81.34;8;0.60;22501.21;Brut;-;1;1
  10-P-2116;10;Pièce;-;Tôlerie;Production;1;Tôle acier 8mm;-;-;-;Acier;120;81.34;8;0.59;22701.49;Brut;-;1;1
  10-P-0160;10;Pièce;-;Usinage Acier;Production;2;Tube carré MSH 60x60x3.2;EN 10210;-;-;Acier;978.33;60;60;5.44;430845.84;Brut;-;1;2
  10-P-0115;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;978.33;120;60;10.32;655607.52;Brut;-;1;1
  10-P-0230;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;1134.33;18;12;1.76;788009.45;Brut;-;1;1
  10-P-0228;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;5195.24;18;12;7.66;2644908.17;Brut;-;1;1
  10-P-0229;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;5389.87;18;12;7.95;2743949.80;Brut;-;1;1
  10-P-0202;10;Pièce;-;Usinage Acier;Production;2;Raico 129005;-;-;-;Acier;992.33;18;12;1.43;462697.10;Brut;-;1;2
  10-P-3000;10;Pièce;-;Achat;Production;6;Cale à verre Raico 167391;-;-;-;Alu;100;49;18;0.05;14127.90;Brut;-;1;6
  10-E-4120;10;Assemblage;-;Acier;Chantier;2;Assemblage Manchon;-;-;-;Divers;111;100;51;0.42;36993.98;Peint Antirouille;Zimo Z1 60my;1;2
    10-P-2000;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;304.09;51;3;0.35;31830.46;Brut;-;2;2
      ;;;;;;-;Sheet;;;;;;;;0.35;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;4
  10-E-4112;10;Assemblage;-;Acier;Chantier;2;Assemblage Manchon;-;-;-;Divers;160;106.40;66.40;2.09;94809.24;Peint Antirouille;Zimo Z1 60my;1;2
    10-P-2014;10;Pièce;-;Tôlerie;Production;1;Tôle acier 6mm manchon;-;-;-;Acier;247.17;160;6;1.96;88082.82;Brut;-;2;2
      ;;;;;;-;Sheet;;;;;;;;1.96;;;;-1;
    10-P-8031;10;Pièce;-;Visserie;Production;1;Ecrou de rallonge M16;-;-;-;Acier;0;0;0;0.13;6726.42;Brut;-;2;2
  10-E-4115;10;Assemblage;-;Acier;Chantier;2;SC Charpente;-;-;-;Divers;120;115;0;0.96;37143.14;Thermolaqué;RAL 9007;1;2
    10-P-2030;10;Pièce;-;Tôlerie;Production;1;Tôle acier 8mm;-;-;-;Acier;120;8;0;0.69;25786.19;Brut;-;2;2
    10-P-0330;10;Pièce;-;Usinage Acier;Production;1;Tige filetée M16x115;-;-;-;Acier;115;16;0;0.18;6182.65;Brut;-;2;2
    10-P-8013;10;Pièce;-;Visserie;Chantier;2;Vis Cylindrique M10x50;-;-;-;Inox Brut 2B;0;0;0;;;Brut;-;2;4
  10-E-4121;10;Assemblage;-;Acier;Chantier;4;Assemblage Manchon;-;-;-;Divers;53;100;53;0.29;25258.99;Peint Antirouille;Zimo Z1 60my;1;4
    10-P-2001;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;188.09;53;3;0.21;20095.48;Brut;-;2;4
      ;;;;;;-;Sheet;;;;;;;;0.21;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;8
10-E-4010;10;Assemblage;-;Acier;Chantier;1;Cadre tubulaire;-;-;-;Divers;5831.28;1170.29;184;261.64;18199070.33;IGP 5803 E 71755 A10;-;0;1
  Esquisse 10-E-4010;;;;;;1;;;;;;;;;;;;;1;1
  10-P-0052;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x80x6.3;EN 10210;-;-;Acier;5823.11;120;80;103.82;4178724.43;Brut;-;1;1
  10-P-0053;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x80x6.3;EN 10210;-;-;Acier;5823.11;120;80;103.81;4178943.40;Brut;-;1;1
  10-P-2117;10;Pièce;-;Tôlerie;Production;1;Tôle acier 8mm;-;-;-;Acier;120;80;8;0.58;22358.06;Brut;-;1;1
  10-P-2112;10;Pièce;-;Tôlerie;Production;1;Tôle acier 8mm;-;-;-;Acier;120;80;8;0.59;22157.79;Brut;-;1;1
  10-P-0161;10;Pièce;-;Usinage Acier;Production;2;Tube carré MSH 60x60x3.2;EN 10210;-;-;Acier;1010.29;60;60;5.62;444871.67;Brut;-;1;2
  10-P-0116;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;1010.29;120;60;10.65;676933.06;Brut;-;1;1
  10-P-0231;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;1166.29;18;12;1.81;810170.56;Brut;-;1;1
  10-P-0232;10;Pièce;-;Usinage Acier;Production;2;Raico 129005;-;-;-;Acier;5774.11;18;12;8.52;2939484.11;Brut;-;1;2
  10-P-0233;10;Pièce;-;Usinage Acier;Production;2;Raico 129005;-;-;-;Acier;1024.29;18;12;1.48;477561.19;Brut;-;1;2
  10-P-3000;10;Pièce;-;Achat;Production;6;Cale à verre Raico 167391;-;-;-;Alu;100;49;18;0.05;14127.90;Brut;-;1;6
  10-E-4120;10;Assemblage;-;Acier;Chantier;3;Assemblage Manchon;-;-;-;Divers;111;100;51;0.42;36993.98;Peint Antirouille;Zimo Z1 60my;1;3
    10-P-2000;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;304.09;51;3;0.35;31830.46;Brut;-;2;3
      ;;;;;;-;Sheet;;;;;;;;0.35;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;6
  10-E-4121;10;Assemblage;-;Acier;Chantier;5;Assemblage Manchon;-;-;-;Divers;53;100;53;0.29;25258.99;Peint Antirouille;Zimo Z1 60my;1;5
    10-P-2001;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;188.09;53;3;0.21;20095.48;Brut;-;2;5
      ;;;;;;-;Sheet;;;;;;;;0.21;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;10
  10-E-4112;10;Assemblage;-;Acier;Chantier;2;Assemblage Manchon;-;-;-;Divers;160;106.40;66.40;2.09;94809.24;Peint Antirouille;Zimo Z1 60my;1;2
    10-P-2014;10;Pièce;-;Tôlerie;Production;1;Tôle acier 6mm manchon;-;-;-;Acier;247.17;160;6;1.96;88082.82;Brut;-;2;2
      ;;;;;;-;Sheet;;;;;;;;1.96;;;;-1;
    10-P-8031;10;Pièce;-;Visserie;Production;1;Ecrou de rallonge M16;-;-;-;Acier;0;0;0;0.13;6726.42;Brut;-;2;2
  10-E-4115;10;Assemblage;-;Acier;Chantier;2;SC Charpente;-;-;-;Divers;120;115;0;0.96;37143.14;Thermolaqué;RAL 9007;1;2
    10-P-2030;10;Pièce;-;Tôlerie;Production;1;Tôle acier 8mm;-;-;-;Acier;120;8;0;0.69;25786.19;Brut;-;2;2
    10-P-0330;10;Pièce;-;Usinage Acier;Production;1;Tige filetée M16x115;-;-;-;Acier;115;16;0;0.18;6182.65;Brut;-;2;2
    10-P-8013;10;Pièce;-;Visserie;Chantier;2;Vis Cylindrique M10x50;-;-;-;Inox Brut 2B;0;0;0;;;Brut;-;2;4
10-E-4011;10;Assemblage;-;Acier;Chantier;1;Cadre tubulaire;-;-;-;Divers;2728.50;3180.22;184;158.54;14946034.08;IGP 5803 E 71755 A10;-;0;1
  Esquisse 10-E-4011;;;;;;1;;;;;;;;;;;;;1;1
  10-P-0017;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;2709.43;120;60;28.58;1812703.08;Brut;-;1;1
  10-P-0018;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;1645.56;120;60;17.37;1102672.42;Brut;-;1;1
  10-P-0019;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;2514.80;120;60;26.53;1682823.26;Brut;-;1;1
  10-P-0020;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;2320.18;120;60;24.48;1552930.09;Brut;-;1;1
  10-P-2115;10;Pièce;-;Tôlerie;Production;2;Tôle acier 8mm;-;-;-;Acier;120;61.01;8;0.44;17721.50;Brut;-;1;2
  10-P-2110;10;Pièce;-;Tôlerie;Production;2;Tôle acier 8mm;-;-;-;Acier;120;61.01;8;0.45;17521.22;Brut;-;1;2
  10-P-0117;10;Pièce;-;Usinage Acier;Production;3;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;980.07;120;60;10.33;656768.68;Brut;-;1;3
  10-P-0234;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;3165.22;18;12;4.91;2196526.27;Brut;-;1;1
  10-P-0236;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;2208.51;18;12;3.26;1125016.50;Brut;-;1;1
  10-P-0237;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;1624.63;18;12;2.40;827891.58;Brut;-;1;1
  10-P-0238;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;2013.88;18;12;2.97;1025974.86;Brut;-;1;1
  10-P-0239;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;1819.26;18;12;2.68;926933.22;Brut;-;1;1
  10-P-3000;10;Pièce;-;Achat;Production;6;Cale à verre Raico 167391;-;-;-;Alu;100;49;18;0.05;14127.90;Brut;-;1;6
  10-E-4111;10;Assemblage;-;Acier;Chantier;4;Assemblage Manchon;-;-;-;Divers;160;111;51;1.89;86110.84;Peint Antirouille;Zimo Z1 60my;1;4
    10-P-2013;10;Pièce;-;Tôlerie;Production;1;Tôle acier 6mm manchon;-;-;-;Acier;220.97;160;"RD3@Annotations@10-P-2012.moPart_c";1.76;79384.42;Brut;-;2;4
      ;;;;;;-;Sheet;;;;;;;;1.76;;;;-1;
    10-P-8031;10;Pièce;-;Visserie;Production;1;Ecrou de rallonge M16;-;-;-;Acier;0;0;0;0.13;6726.42;Brut;-;2;4
  10-E-4115;10;Assemblage;-;Acier;Chantier;4;SC Charpente;-;-;-;Divers;120;115;0;0.96;37143.14;Thermolaqué;RAL 9007;1;4
    10-P-2030;10;Pièce;-;Tôlerie;Production;1;Tôle acier 8mm;-;-;-;Acier;120;8;0;0.69;25786.19;Brut;-;2;4
    10-P-0330;10;Pièce;-;Usinage Acier;Production;1;Tige filetée M16x115;-;-;-;Acier;115;16;0;0.18;6182.65;Brut;-;2;4
    10-P-8013;10;Pièce;-;Visserie;Chantier;2;Vis Cylindrique M10x50;-;-;-;Inox Brut 2B;0;0;0;;;Brut;-;2;8
  10-E-4120;10;Assemblage;-;Acier;Chantier;2;Assemblage Manchon;-;-;-;Divers;111;100;51;0.42;36993.98;Peint Antirouille;Zimo Z1 60my;1;2
    10-P-2000;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;304.09;51;3;0.35;31830.46;Brut;-;2;2
      ;;;;;;-;Sheet;;;;;;;;0.35;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;4
10-E-4012;10;Assemblage;-;Acier;Chantier;1;Cadre tubulaire;-;-;-;Divers;1469.99;3180.22;184;105.94;10329652.67;IGP 5803 E 71755 A10;-;0;1
  Esquisse 10-E-4012;;;;;;1;;;;;;;;;;;;;1;1
  10-P-0021;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;1450.94;120;60;15.31;972779.25;Brut;-;1;1
  10-P-0022;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;867.08;120;60;9.16;583099.74;Brut;-;1;1
  10-P-0023;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;1256.32;120;60;13.26;842899.43;Brut;-;1;1
  10-P-0024;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;1061.70;120;60;11.21;713006.26;Brut;-;1;1
  10-P-2115;10;Pièce;-;Tôlerie;Production;2;Tôle acier 8mm;-;-;-;Acier;120;61.01;8;0.44;17721.50;Brut;-;1;2
  10-P-2110;10;Pièce;-;Tôlerie;Production;2;Tôle acier 8mm;-;-;-;Acier;120;61.01;8;0.45;17521.22;Brut;-;1;2
  10-P-0117;10;Pièce;-;Usinage Acier;Production;3;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;980.07;120;60;10.33;656768.68;Brut;-;1;3
  10-P-0240;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;3176.22;18;12;4.92;2204155.30;Brut;-;1;1
  10-P-0241;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;1430.01;18;12;2.11;728849.94;Brut;-;1;1
  10-P-0242;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;846.13;18;12;1.25;431725.01;Brut;-;1;1
  10-P-0243;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;1235.38;18;12;1.82;629808.29;Brut;-;1;1
  10-P-0244;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;1040.75;18;12;1.53;530766.65;Brut;-;1;1
  10-P-3000;10;Pièce;-;Achat;Production;6;Cale à verre Raico 167391;-;-;-;Alu;100;49;18;0.05;14127.90;Brut;-;1;6
  10-E-4111;10;Assemblage;-;Acier;Chantier;4;Assemblage Manchon;-;-;-;Divers;160;111;51;1.89;86110.84;Peint Antirouille;Zimo Z1 60my;1;4
    10-P-2013;10;Pièce;-;Tôlerie;Production;1;Tôle acier 6mm manchon;-;-;-;Acier;220.97;160;"RD3@Annotations@10-P-2012.moPart_c";1.76;79384.42;Brut;-;2;4
      ;;;;;;-;Sheet;;;;;;;;1.76;;;;-1;
    10-P-8031;10;Pièce;-;Visserie;Production;1;Ecrou de rallonge M16;-;-;-;Acier;0;0;0;0.13;6726.42;Brut;-;2;4
  10-E-4115;10;Assemblage;-;Acier;Chantier;4;SC Charpente;-;-;-;Divers;120;115;0;0.96;37143.14;Thermolaqué;RAL 9007;1;4
    10-P-2030;10;Pièce;-;Tôlerie;Production;1;Tôle acier 8mm;-;-;-;Acier;120;8;0;0.69;25786.19;Brut;-;2;4
    10-P-0330;10;Pièce;-;Usinage Acier;Production;1;Tige filetée M16x115;-;-;-;Acier;115;16;0;0.18;6182.65;Brut;-;2;4
    10-P-8013;10;Pièce;-;Visserie;Chantier;2;Vis Cylindrique M10x50;-;-;-;Inox Brut 2B;0;0;0;;;Brut;-;2;8
  10-E-4120;10;Assemblage;-;Acier;Chantier;2;Assemblage Manchon;-;-;-;Divers;111;100;51;0.42;36993.98;Peint Antirouille;Zimo Z1 60my;1;2
    10-P-2000;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;304.09;51;3;0.35;31830.46;Brut;-;2;2
      ;;;;;;-;Sheet;;;;;;;;0.35;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;4
10-E-4030;10;Assemblage;-;Acier;Chantier;1;Cadre tubulaire;-;-;-;Divers;4745;1193.76;1152.33;179.79;19471118.45;IGP 5803 E 71755 A10;-;0;1
  Esquisse 10-E-4030;;;;;;1;;;;;;;;;;;;;1;1
  10-P-0004;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;4745;120;60;50.01;3168813.88;Brut;-;1;1
  10-P-0006;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;4745;120;60;50.01;3168813.88;Brut;-;1;1
  10-P-0090;10;Pièce;-;Usinage Acier;Production;2;Tube rectangulaire MSH 60x60x3;EN 10210;-;-;Acier;310;60;60;1.61;137617.42;Brut;-;1;2
